ID,hid,Ymean,MagpieData avg_dev GSvolume_pa,MatscholarElementData mean embedding 54,MatscholarElementData std_dev embedding 116,MatscholarElementData std_dev embedding 155,MatscholarElementData mean embedding 4,PymatgenData mean mendeleev_no,MatscholarElementData std_dev embedding 136,MatscholarElementData std_dev embedding 153,MatscholarElementData mean embedding 140,MatscholarElementData mean embedding 170,MatscholarElementData std_dev embedding 71,MagpieData mean CovalentRadius,MatscholarElementData range embedding 71,MagpieData avg_dev CovalentRadius,MagpieData avg_dev Row,MatscholarElementData mean embedding 49,MatscholarElementData mean embedding 5,MatscholarElementData std_dev embedding 198,MatscholarElementData std_dev embedding 118,MatscholarElementData std_dev embedding 72,MatscholarElementData mean embedding 97,MatscholarElementData mean embedding 82,MatscholarElementData std_dev embedding 177,MatscholarElementData mean embedding 39,MatscholarElementData mean embedding 163,MatscholarElementData mean embedding 14,MatscholarElementData minimum embedding 75,MatscholarElementData std_dev embedding 172,MatscholarElementData std_dev embedding 125,MatscholarElementData mean embedding 167,H1N4H1,H1N3H1,H1N3C3,N3C3N3,N3C3H1,H1C3C3,C3C3N3,C3N3C3,H1C4H1,H1C4C4,C4C4C4,C4C4N4,H1C4N4,C4N4H1,N4N3H1,H1N4N3,C4N4C4,H1N4O2,N4O2H1,C3C4H1,C4C3N3,Ystd,selector1,selector2,prop_value
0,0,5.828244444444445,3.0929999999999995,0.0093135013245046,0.0355454656986483,0.0728085017029395,0.0625413072605927,100.26666666666668,0.0180079463988397,0.0618715940038523,-0.0031922335581233,-0.0572083984812099,0.0779685368005818,50.8,0.1596572995185852,21.12,0.64,-0.0505138484140237,-0.0199850402772426,0.0289313172988754,0.058425345839338,0.007434949240069,-0.057482261583209,0.0159638599337389,0.0295791076333772,0.0145471935470898,-0.0745656662310163,-0.1173598090807596,-0.0240005999803543,0.0639279445888774,0.0326757830256168,0.0118349798955023,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3636363636363637,0.4545454545454546,0.0,0.0909090909090909,0.1818181818181818,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1969974372365736,1,0,5.828244444444445
1,1,4.836081818181818,4.006777777777777,0.0148165746591985,0.0597059474899538,0.0758249069605846,0.0576095340152581,100.2,0.0180388850640504,0.0625149070954816,-0.0048138535426308,-0.0553710117936134,0.0761328353401556,52.06666666666667,0.1551971994340419,22.47111111111112,0.7111111111111111,-0.046854302038749,-0.0177328069383899,0.0294210353349232,0.0660814146282627,0.0146934519790251,-0.0489824283868074,0.0181013401132076,0.0340556918055569,0.0135798667867978,-0.0720081262911359,-0.1178512424230575,-0.0514380000531673,0.0696341170439368,0.0287017007764412,0.0068226399521032,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3636363636363637,0.4545454545454546,0.0,0.0909090909090909,0.1818181818181818,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4196153186388262,1,0,4.836081818181818
2,2,5.332775000000002,3.5467777777777774,0.0098608279290298,0.0520988339313138,0.0746306797064803,0.0620549606780211,100.13333333333334,0.0190913502300179,0.0620935031605981,-0.0013090468477457,-0.0589989319443702,0.0782418086364879,52.53333333333333,0.1551971994340419,22.968888888888888,0.7822222222222223,-0.042974421630303,-0.0205581003179152,0.0298927431535338,0.0556926454878518,0.0118496740631802,-0.0530421817985673,0.0153905332864572,0.0292036075860202,0.0179316068689028,-0.0773045994962255,-0.1154649158318837,-0.0240005999803543,0.0632597134287187,0.0410331571857479,0.0074373399217923,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3636363636363637,0.4545454545454546,0.0,0.0909090909090909,0.1818181818181818,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6129841390874051,1,0,5.332775000000002
3,3,4.15051,7.037000000000001,0.0201505810488015,0.0681632463308915,0.0617824380386292,0.0565024671455224,99.66666666666669,0.0172164062853447,0.0657334980419209,0.0147633067021767,-0.0703962182005246,0.0407811533871363,59.8,0.0920380949974059,30.72,0.8533333333333334,-0.069272028406461,-0.0334000207483768,0.0275560039065709,0.0628962224920206,0.0222795551427629,-0.0739646807312965,0.0222777009786417,0.0380701447312794,0.0107021934663256,-0.0499703255171577,-0.1222992683450381,-0.0460110008716583,0.0454265633074249,0.0611888984955443,0.0233108998276293,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3636363636363637,0.4545454545454546,0.0,0.0909090909090909,0.1818181818181818,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.575889129858247,1,0,4.15051
4,4,3.7704,7.950777777777778,0.0256536543834954,0.0809254555777915,0.064639259295433,0.0515706939001878,99.6,0.0174071234935152,0.0662780469984541,0.0131416867176691,-0.068558831512928,0.0399737528770022,61.06666666666667,0.0875779949128627,32.071111111111115,0.9244444444444444,-0.0656124820311864,-0.0311477874095241,0.0268523825726126,0.0698019586883372,0.0265691492447177,-0.0654648475348949,0.0244151811581104,0.0428325849828253,0.0097348667060335,-0.0474127855772773,-0.1227907016873359,-0.0514380000531673,0.0493453837484816,0.0605345186940217,0.0182985598842302,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3636363636363637,0.4545454545454546,0.0,0.0909090909090909,0.1818181818181818,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7059301367699213,1,0,3.7704
5,5,4.17995,7.490777777777778,0.0206979076533267,0.076075057407263,0.0647021171763383,0.0560161205629507,99.53333333333332,0.0195783915936374,0.0659168114753018,0.0166464934125542,-0.0721867516636848,0.0473943424874222,61.53333333333333,0.1095980964601039,32.568888888888885,0.9955555555555556,-0.0617326016227404,-0.0339730807890494,0.0273168484255385,0.0604876381287509,0.0229407905839858,-0.0695246009466548,0.0217043743313599,0.0378810321690455,0.0140866067881385,-0.0527092587823669,-0.1204043750961621,-0.0460110008716583,0.046897483223211,0.0650573556666327,0.0189132598539193,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3636363636363637,0.4545454545454546,0.0,0.0909090909090909,0.1818181818181818,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5676303594770102,1,0,4.17995
6,6,3.5335636363636365,8.365666666666668,0.0250561813823878,0.0699035452007788,0.0666327786198637,0.0466746074457963,99.46666666666668,0.0131230204774151,0.0832420846837054,-0.0033790136066575,-0.0653422591586907,0.0396661761500728,63.4,0.0920380949974059,34.559999999999995,1.0666666666666669,-0.0749346901973088,-0.0291260607540607,0.0400301508961316,0.0783259614848824,0.0204501847063773,-0.0684800624847412,0.035142143148308,0.0338993188614381,0.0055779525389273,-0.0708130472029248,-0.1154997507731119,-0.1150031089782714,0.0442657068949405,0.0563723295064627,0.0133399986661969,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3636363636363637,0.4545454545454546,0.0,0.0909090909090909,0.1818181818181818,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5025367792962566,1,0,3.5335636363636365
7,7,3.1716250000000006,9.279444444444444,0.0305592547170817,0.0822698783783457,0.0695888701675937,0.0417428342004617,99.4,0.0133354209781106,0.0834868919359882,-0.0050006335911651,-0.0635048724710941,0.0391729923424425,64.66666666666667,0.0875779949128627,35.91111111111112,1.1644444444444444,-0.0712751438220342,-0.0268738274152079,0.0420000051543997,0.0835067620897997,0.0249472562103672,-0.0599802292883396,0.0372796233277767,0.0386226847932185,0.0046106257786353,-0.0682555072630445,-0.1159911841154098,-0.1150031089782714,0.0484074742054752,0.0554358573452219,0.008327658722798,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3636363636363637,0.4545454545454546,0.0,0.0909090909090909,0.1818181818181818,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5954198230507766,1,0,3.1716250000000006
8,8,3.5527500000000005,8.819444444444445,0.0256035079869131,0.0775337233734419,0.0690021125945388,0.0461882608632246,99.33333333333331,0.0158351062092257,0.0833095511168199,-0.0014958268962799,-0.0671327926218509,0.0471367048781847,65.13333333333334,0.1095980964601039,36.40888888888889,1.262222222222222,-0.0673952634135882,-0.0296991207947333,0.0423979649102995,0.0766081359582688,0.0213117781265241,-0.0640399827000995,0.0345688165010263,0.0336380582366832,0.0089623658607403,-0.073551980468134,-0.1136048575242359,-0.1150031089782714,0.0456971179286272,0.0607098275279264,0.008942358692487,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3636363636363637,0.4545454545454546,0.0,0.0909090909090909,0.1818181818181818,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4766765948849504,1,0,3.5527500000000005
9,9,2.8891500000000003,12.059333333333337,0.0271839207969605,0.081177548072683,0.0800760741765991,0.0501340461273988,99.26666666666668,0.0095189333346784,0.1088857398871206,-0.0132528336097796,-0.057777098317941,0.0430499993580525,67.2,0.0920380949974059,38.61333333333333,1.36,-0.0827909072240193,-0.0323741003870964,0.0934666935492757,0.0717827077045574,0.0321330624922945,-0.053216001484543,0.0276500419558336,0.0378571016753516,-0.0008222466955582,-0.0576995857680837,-0.1224178696672121,-0.0253896992653608,0.0653695475496718,0.0273736681340656,-0.0030243604443967,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3636363636363637,0.4545454545454546,0.0,0.0909090909090909,0.1818181818181818,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3893082384762164,1,0,2.8891500000000003
