file_name,target
CF4-00001.xyz,-.25466963E+02
CF4-00002.xyz,-.25357728E+02
CF4-00003.xyz,-.25463676E+02
CF4-00004.xyz,-.25312495E+02
CF4-00005.xyz,-.25364009E+02
CF4-00006.xyz,-.25455444E+02
CF4-00007.xyz,-.25460239E+02
CF4-00008.xyz,-.25515748E+02
CF4-00009.xyz,-.25369706E+02
CF4-00010.xyz,-.25406148E+02
CF4-00011.xyz,-.25478429E+02
CF4-00012.xyz,-.25469307E+02
CF4-00013.xyz,-.25424004E+02
CF4-00014.xyz,-.25322427E+02
CF4-00015.xyz,-.25400562E+02
CF4-00016.xyz,-.25426261E+02
CF4-00017.xyz,-.25391509E+02
CF4-00018.xyz,-.25397577E+02
CF4-00019.xyz,-.25409517E+02
CF4-00020.xyz,-.25431998E+02
CF4-00021.xyz,-.25343942E+02
CF4-00022.xyz,-.25430577E+02
CF4-00023.xyz,-.25444846E+02
CF4-00024.xyz,-.25505509E+02
CF4-00025.xyz,-.25243118E+02
CF4-00026.xyz,-.25450003E+02
CF4-00027.xyz,-.25369194E+02
CF4-00028.xyz,-.25468580E+02
CF4-00029.xyz,-.25455034E+02
CF4-00030.xyz,-.25427704E+02
CF4-00031.xyz,-.25464088E+02
CF4-00032.xyz,-.25435826E+02
CF4-00033.xyz,-.25464816E+02
CF4-00034.xyz,-.25454003E+02
CF4-00035.xyz,-.25513325E+02
CF4-00036.xyz,-.25446281E+02
CF4-00037.xyz,-.25366690E+02
CF4-00038.xyz,-.25449502E+02
CF4-00039.xyz,-.25387895E+02
CF4-00040.xyz,-.25437833E+02
CF4-00041.xyz,-.25423809E+02
CF4-00042.xyz,-.25394551E+02
CF4-00043.xyz,-.25380418E+02
CF4-00044.xyz,-.25494593E+02
CF4-00045.xyz,-.25440456E+02
CF4-00046.xyz,-.25374398E+02
CF4-00047.xyz,-.25400949E+02
CF4-00048.xyz,-.25493291E+02
CF4-00049.xyz,-.25371725E+02
CF4-00050.xyz,-.25328840E+02
CF4-00051.xyz,-.25243805E+02
CF4-00052.xyz,-.25371469E+02
CF4-00053.xyz,-.25416670E+02
CF4-00054.xyz,-.25486992E+02
CF4-00055.xyz,-.25416578E+02
CF4-00056.xyz,-.25497066E+02
CF4-00057.xyz,-.25371886E+02
CF4-00058.xyz,-.25465198E+02
CF4-00059.xyz,-.25404011E+02
CF4-00060.xyz,-.25497917E+02
CF4-00061.xyz,-.25344267E+02
CF4-00062.xyz,-.25458617E+02
CF4-00063.xyz,-.25421366E+02
CF4-00064.xyz,-.25435385E+02
CF4-00065.xyz,-.25456229E+02
CF4-00066.xyz,-.25449162E+02
CF4-00067.xyz,-.25325521E+02
CF4-00068.xyz,-.25405806E+02
CF4-00069.xyz,-.25342426E+02
CF4-00070.xyz,-.25304745E+02
CF4-00071.xyz,-.25527415E+02
CF4-00072.xyz,-.25488251E+02
CF4-00073.xyz,-.25420241E+02
CF4-00074.xyz,-.25368800E+02
CF4-00075.xyz,-.25403613E+02
CF4-00076.xyz,-.25392389E+02
CF4-00077.xyz,-.25295063E+02
CF4-00078.xyz,-.25418578E+02
CF4-00079.xyz,-.25465143E+02
CF4-00080.xyz,-.25387710E+02
CF4-00081.xyz,-.25515562E+02
CF4-00082.xyz,-.25365427E+02
CF4-00083.xyz,-.25506550E+02
CF4-00084.xyz,-.25463967E+02
CF4-00085.xyz,-.25401698E+02
CF4-00086.xyz,-.25425090E+02
CF4-00087.xyz,-.25372017E+02
CF4-00088.xyz,-.25506037E+02
CF4-00089.xyz,-.25371806E+02
CF4-00090.xyz,-.25482182E+02
CF4-00091.xyz,-.25479193E+02
CF4-00092.xyz,-.25359702E+02
CF4-00093.xyz,-.25477908E+02
CF4-00094.xyz,-.25522536E+02
CF4-00095.xyz,-.25405677E+02
CF4-00096.xyz,-.25336928E+02
CF4-00097.xyz,-.25491462E+02
CF4-00098.xyz,-.25322894E+02
CF4-00099.xyz,-.25370683E+02
CF4-00100.xyz,-.25469586E+02
CF4-00101.xyz,-.25458243E+02
CF4-00102.xyz,-.25303135E+02
CF4-00103.xyz,-.25452568E+02
CF4-00104.xyz,-.25424809E+02
CF4-00105.xyz,-.25448039E+02
CF4-00106.xyz,-.25466647E+02
CF4-00107.xyz,-.25508957E+02
CF4-00108.xyz,-.25289196E+02
CF4-00109.xyz,-.25466115E+02
CF4-00110.xyz,-.25361732E+02
CF4-00111.xyz,-.25446657E+02
CF4-00112.xyz,-.25511954E+02
CF4-00113.xyz,-.25479784E+02
CF4-00114.xyz,-.25505426E+02
CF4-00115.xyz,-.25427529E+02
CF4-00116.xyz,-.25357378E+02
CF4-00117.xyz,-.25526726E+02
CF4-00118.xyz,-.25361193E+02
CF4-00119.xyz,-.25463441E+02
CF4-00120.xyz,-.25447041E+02
CF4-00121.xyz,-.25308060E+02
CF4-00122.xyz,-.25423940E+02
CF4-00123.xyz,-.25373352E+02
CF4-00124.xyz,-.25415890E+02
CF4-00125.xyz,-.25385895E+02
CF4-00126.xyz,-.25417493E+02
CF4-00127.xyz,-.25307643E+02
CF4-00128.xyz,-.25355278E+02
CF4-00129.xyz,-.25244368E+02
CF4-00130.xyz,-.25456714E+02
CF4-00131.xyz,-.25376031E+02
CF4-00132.xyz,-.25522804E+02
CF4-00133.xyz,-.25354459E+02
CF4-00134.xyz,-.25500597E+02
CF4-00135.xyz,-.25489424E+02
CF4-00136.xyz,-.25399912E+02
CF4-00137.xyz,-.25391451E+02
CF4-00138.xyz,-.25422672E+02
CF4-00139.xyz,-.25447649E+02
CF4-00140.xyz,-.25299105E+02
CF4-00141.xyz,-.25281362E+02
CF4-00142.xyz,-.25521204E+02
CF4-00143.xyz,-.25443338E+02
CF4-00144.xyz,-.25482207E+02
CF4-00145.xyz,-.25423779E+02
CF4-00146.xyz,-.25494126E+02
CF4-00147.xyz,-.25365661E+02
CF4-00148.xyz,-.25386980E+02
CF4-00149.xyz,-.25340533E+02
CF4-00150.xyz,-.25249910E+02
CF4-00151.xyz,-.25449331E+02
CF4-00152.xyz,-.25496885E+02
CF4-00153.xyz,-.25444750E+02
CF4-00154.xyz,-.25497437E+02
CF4-00155.xyz,-.25363637E+02
CF4-00156.xyz,-.25318006E+02
CF4-00157.xyz,-.25466396E+02
CF4-00158.xyz,-.25385061E+02
CF4-00159.xyz,-.25325367E+02
CF4-00160.xyz,-.25331375E+02
CF4-00161.xyz,-.25417907E+02
CF4-00162.xyz,-.25319784E+02
CF4-00163.xyz,-.25422582E+02
CF4-00164.xyz,-.25401818E+02
CF4-00165.xyz,-.25399595E+02
CF4-00166.xyz,-.25518460E+02
CF4-00167.xyz,-.25351454E+02
CF4-00168.xyz,-.25444034E+02
CF4-00169.xyz,-.25495176E+02
CF4-00170.xyz,-.25304970E+02
CF4-00171.xyz,-.25440111E+02
CF4-00172.xyz,-.25447265E+02
CF4-00173.xyz,-.25458739E+02
CF4-00174.xyz,-.25378675E+02
CF4-00175.xyz,-.25364572E+02
CF4-00176.xyz,-.25148232E+02
CF4-00177.xyz,-.25385868E+02
CF4-00178.xyz,-.25275667E+02
CF4-00179.xyz,-.25445739E+02
CF4-00180.xyz,-.25446109E+02
CF4-00181.xyz,-.25386126E+02
CF4-00182.xyz,-.25484346E+02
CF4-00183.xyz,-.25380816E+02
CF4-00184.xyz,-.25439418E+02
CF4-00185.xyz,-.25465203E+02
CF4-00186.xyz,-.25276176E+02
CF4-00187.xyz,-.25329311E+02
CF4-00188.xyz,-.25423860E+02
CF4-00189.xyz,-.25434405E+02
CF4-00190.xyz,-.25419318E+02
CF4-00191.xyz,-.25438692E+02
CF4-00192.xyz,-.25504561E+02
CF4-00193.xyz,-.25262251E+02
CF4-00194.xyz,-.25425628E+02
CF4-00195.xyz,-.25428408E+02
CF4-00196.xyz,-.25379812E+02
CF4-00197.xyz,-.25300334E+02
CF4-00198.xyz,-.25448356E+02
CF4-00199.xyz,-.25370660E+02
CF4-00200.xyz,-.25468454E+02
CF4-00201.xyz,-.25464470E+02
CF4-00202.xyz,-.25289386E+02
CF4-00203.xyz,-.25433630E+02
CF4-00204.xyz,-.25442227E+02
CF4-00205.xyz,-.25355273E+02
CF4-00206.xyz,-.25448278E+02
CF4-00207.xyz,-.25447213E+02
CF4-00208.xyz,-.25353082E+02
CF4-00209.xyz,-.25408078E+02
CF4-00210.xyz,-.25473928E+02
CF4-00211.xyz,-.25437567E+02
CF4-00212.xyz,-.25477464E+02
CF4-00213.xyz,-.25396983E+02
CF4-00214.xyz,-.25520376E+02
CF4-00215.xyz,-.25402502E+02
CF4-00216.xyz,-.25485728E+02
CF4-00217.xyz,-.25494842E+02
CF4-00218.xyz,-.25431744E+02
CF4-00219.xyz,-.25404759E+02
CF4-00220.xyz,-.25403042E+02
CF4-00221.xyz,-.25471236E+02
CF4-00222.xyz,-.25507063E+02
CF4-00223.xyz,-.25345684E+02
CF4-00224.xyz,-.25311136E+02
CF4-00225.xyz,-.25447083E+02
CF4-00226.xyz,-.25364791E+02
CF4-00227.xyz,-.25430049E+02
CF4-00228.xyz,-.25471920E+02
