id,target,pesm_0000,pesm_0001,pesm_0002,pesm_0003,pesm_0004,pesm_0005,pesm_0006,pesm_0007,pesm_0008,pesm_0009,pesm_0010,pesm_0011,pesm_0012,pesm_0013,pesm_0014,pesm_0015,pesm_0016,pesm_0017,pesm_0018,pesm_0019,pesm_0020,pesm_0021,pesm_0022,pesm_0023,pesm_0024,pesm_0025,pesm_0026,pesm_0027,pesm_0028,pesm_0029,pesm_0030,pesm_0031,pesm_0032,pesm_0033,pesm_0034,pesm_0035,pesm_0036,pesm_0037,pesm_0038,pesm_0039,pesm_0040,pesm_0041,pesm_0042,pesm_0043,pesm_0044,pesm_0045,pesm_0046,pesm_0047,pesm_0048,pesm_0049,pesm_0050,pesm_0051,pesm_0052,pesm_0053,pesm_0054,pesm_0055,pesm_0056,pesm_0057,pesm_0058,pesm_0059,pesm_0060,pesm_0061,pesm_0062,pesm_0063,pesm_0064,pesm_0065,pesm_0066,pesm_0067,pesm_0068,pesm_0069,pesm_0070,pesm_0071,pesm_0072,pesm_0073,pesm_0074,pesm_0075,pesm_0076,pesm_0077,pesm_0078,pesm_0079,pesm_0080,pesm_0081,pesm_0082,pesm_0083,pesm_0084,pesm_0085,pesm_0086,pesm_0087,pesm_0088,pesm_0089,pesm_0090,pesm_0091,pesm_0092,pesm_0093,pesm_0094,pesm_0095,pesm_0096,pesm_0097,pesm_0098,pesm_0099
mg2si_struct_01.vasp,-8.9247973,0.0,0.0,0.0,0.0,0.0,6.8621471e-316,1.3185906237189728e-286,9.428523391908777e-259,2.5087716035709054e-232,2.4840613095075016e-207,9.152658079758717e-184,1.2549196199111552e-161,6.402776213155229e-141,1.2156385928263036e-121,8.588639583679531e-104,2.2580212262248147e-87,2.2091001481987286e-72,8.042415975370145e-59,1.0895355430034269e-46,5.4926258364891634e-36,1.0303917462387025e-26,7.19297365638529e-19,1.868522410701984e-12,1.80622519172877e-07,0.0006497244677813643,0.08697016453469711,0.43320663945296634,0.0802978023489228,0.00055385484264453,1.421582269325791e-07,1.3577874232946946e-12,4.825866547745313e-19,6.382672735964612e-27,3.141330195693328e-36,5.753185054670205e-47,3.9209097051834848e-59,2.2275219934449674e-63,1.0217166183495883e-50,1.7439043332827926e-39,1.107639918820272e-29,2.6179315329121653e-21,2.3025109914972925e-14,7.535791652616966e-09,9.177825500350455e-05,0.041594360573236504,0.7014760556088842,0.44022529487311374,0.010280657184706063,8.934093738180862e-06,2.889108652544406e-10,3.476650128447871e-16,1.5568323358410007e-23,2.594217841624646e-32,1.608624885750654e-42,3.71181965397021e-54,3.187151395613225e-67,1.0183621828016004e-81,1.2108366994469355e-97,5.357382203298147e-115,8.820707655906131e-134,3.129271682257574e-132,1.4619770459171748e-113,2.5416841495360102e-96,1.6443200409815077e-80,3.958538400139401e-66,3.546231777657825e-53,1.182178658599842e-41,1.4665026613947472e-31,6.76965191920979e-23,1.1628764215575642e-15,7.433349172479084e-10,1.768150570031323e-05,0.0156508417357782,0.5155133268741549,0.6318673968814638,0.029763154324398734,0.20641037748583482,1.6803716035592657,0.5091735243240585,0.005741297302102707,2.4090066701505016e-06,3.761401654054604e-11,2.1854715770660545e-17,4.725245279830635e-25,3.8017827341365007e-34,1.138240341532493e-44,1.26813180948934e-56,5.257491289042596e-70,1.9395175502320024e-84,1.1489180331337467e-69,4.35304833717786e-56,6.137361096173968e-44,3.219983195803669e-33,6.28650517192045e-24,4.567185928163496e-16,1.2347295711631943e-09,0.00012421634599329553,0.46501760251634133,64.78042285934428,335.81640430703607
mg2si_struct_02.vasp,-34.985707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.461360576e-315,6.578049384176256e-286,4.6519084403203535e-258,1.2241902880184835e-231,1.198810240130605e-206,4.368533807601923e-183,5.923858835593467e-161,2.98921699950153e-140,5.612985609145037e-121,3.922059310345691e-103,1.0198073267355676e-86,9.867470609009307e-72,3.552853483631691e-58,4.760279983564848e-46,2.373402739024848e-35,4.4034606931212415e-26,3.0401887780276343e-18,7.810713750954187e-12,7.467317805613013e-07,0.002656576282459815,0.35169297195608434,1.7325621847269461,0.3176125944610776,0.0021666578886813718,5.500050945017989e-07,5.195493727133485e-12,1.8262948341736086e-18,4.1403243863380926e-17,7.205734205563234e-11,4.66665667811006e-06,0.01124649532629391,1.0085846389349058,3.3666800731384896,0.6869259404534803,3.1393371732289346,1.5700210115039106,3.933690458236889,5.14900694488475,2.6105247907620646,2.2119569515875384,2.0167950814038886,2.856743962922299,0.20484500987672632,0.000606782948280408,7.170213526126713e-08,2.90661819262778e-07,0.0017636359040020988,0.3982264390124281,3.369462264915215,2.4513662970742836,3.323112697619589,2.111974654901206,4.3187992767178525,3.07959332400445,0.10073882990541103,1.0351290952678904,6.365395453781642,2.145906905087634,0.14368296352782672,2.6921777607925597,5.705854901630533,57.941692315729654,279.07523003003314
mg2si_struct_03.vasp,-17.246812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-323,1.0488864461230084e-293,1.7495997755244883e-265,1.086007183562386e-238,2.508478738766299e-213,2.1561148643157616e-189,6.896315242447592e-167,8.208164666908586e-146,3.6354548716313126e-126,5.991770884059325e-108,3.6748141618463213e-91,8.386858334557224e-76,7.1227381015973724e-62,2.2510149914583777e-49,2.6472413723671997e-38,1.158490398041814e-28,1.886579358154832e-20,1.143250660290302e-13,2.5780514851329934e-08,0.00021633433568033915,0.06755275494847146,0.7849543830967104,0.33941381505183604,0.005461329182636495,3.2700239726461753e-06,7.503593430260429e-11,2.4074946051885663e-07,0.0009910710829523829,0.15181966528298382,0.8654360807061355,0.18358014468808256,0.001449106021715041,4.793753945346216e-07,0.00044511893085366763,0.13724659109322418,1.5747470911581916,0.6723629996428114,0.010682687891072472,6.315983938038647e-06,1.3895853809235702e-10,1.1376618605221634e-16,6.49372231634571e-23,1.2163503041275562e-15,8.956307954637914e-10,2.4540483256595984e-05,0.025021938145818413,0.9493853470612593,1.3404459544222713,0.08143368665372129,0.998687451870218,3.3709474124196954,0.42346547655188926,0.002193941312769113,0.06721485013422715,0.7841771745027442,0.3404466984394644,0.0055000647161031375,3.306515487436295e-06,3.9095386132784005e-07,0.0021577028670574953,0.44322443116617205,3.3879694594441236,0.9636937113977508,0.01020051986618019,4.017809393431791e-06,5.888980230082221e-11,3.2119931150434376e-17,6.519178310368641e-25,6.06749218585334e-24,4.408074035649903e-16,1.1917176160116195e-09,0.00011989126582044676,0.44886770168419793,62.56250581916398,325.2301829504432
mg2si_struct_04.vasp,-34.062642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.72847619292177e-302,8.038040708504319e-274,1.390979544132377e-246,8.957256853154085e-221,2.146411840680863e-196,1.9139686754685727e-173,6.3509740578347175e-152,7.842049775903119e-132,3.6033180165949475e-113,6.161115274768925e-96,3.920124126374986e-80,9.281625592497732e-66,8.177715835223084e-53,2.6811661503886647e-41,3.271140386974522e-31,1.4851091747917467e-22,2.509003816453088e-15,1.5773497653489805e-09,3.69010251835224e-05,0.03212422070732724,1.04066395643682,1.2545043387234467,0.056275267122702186,9.393916713544998e-05,5.8352516279320825e-09,1.3488268864893961e-14,1.4848327617340842e-21,5.397270217737192e-15,3.3392814220369817e-09,7.688039810291559e-05,0.06586610295448778,2.099869376096146,2.493860209171305,0.35637846404075957,0.8445340447567674,0.10766895451377187,0.001977839932805139,0.4225651415954667,4.741821414900601,2.6947512481551934,0.9530836717844949,4.234966321883688,4.677602818855281,2.57315457091087,1.727821265547082,2.6981512854310004,0.4224352869274139,0.014059734115856112,0.7883294718248834,3.2166214433023423,3.268266626609134,5.218197355820694,3.162883882800226,2.113074308923511,1.4315272087918502,5.340165111391687,8.339674916786397,1.3997380627621216,1.4569296665172218,0.09613019255555473,0.38425033430516625,53.49609278615453,277.32388131360034
mg2si_struct_05.vasp,-34.035175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-323,9.415220444986881e-294,1.6338842680031117e-265,1.0551053670222811e-238,2.535444544045252e-213,2.2672329392843854e-189,7.54435145542914e-167,9.341818474621677e-146,4.304519494006117e-126,7.380770078578079e-108,4.709365708271112e-91,1.1181675906456897e-75,9.879503658436425e-62,3.2482324090650384e-49,3.974136746961883e-38,1.8093486517067188e-28,3.0653880374808563e-20,1.932557382897725e-13,4.533807544853816e-08,0.0003958015643170953,0.12858066708217913,1.5543813814378118,0.6992351299973999,0.01170503282561865,7.291313560506948e-06,1.6901399115738357e-10,1.457885049652548e-16,4.684653521181939e-24,5.603892132211757e-19,2.3071093409053817e-12,3.5345190830426796e-07,0.0020150054577973806,0.4274702208789822,3.374576261723649,0.9913257140646444,0.010836704690877176,4.408205667146774e-06,6.67283222524692e-11,2.3010276136988955e-12,2.985203739604941e-07,0.0014522724743033114,0.2727760371247588,2.2372514458864194,1.7368105066197301,3.826018022610201,2.5329979212200704,0.3917779217675755,1.6811294060799165,0.5254569587292118,0.8107672911900132,1.6501484662504515,2.948584904366749,2.4753783664595193,3.8721444153614684,3.4446265291262446,0.6501295997563874,2.210253916882163,4.589869853833691,7.013267713881358,8.663173254092797,6.473169467760668,2.816264752540759,1.1625199481159452,4.193737444076026,3.1777235069906924,55.18175538270541,278.46263411679746
mg2si_struct_06.vasp,-33.945754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9782199323584206e-297,7.684336405102925e-269,7.378018080905021e-242,2.6360691828635372e-216,3.5047547707674814e-192,1.7339725178429744e-169,3.192350198613307e-148,2.1870695145429877e-128,5.575687048109789e-110,5.289540359717041e-93,1.867330640329962e-77,2.4530604723266713e-63,1.199165231938205e-50,2.181391140040562e-39,1.476630396783084e-29,3.719579165015643e-21,3.4865793312416384e-14,1.2161553061307158e-08,0.00015785642733397195,0.07624638236940363,1.3704397871409815,0.9166096339613897,0.022813536781041265,2.112927344120996e-05,7.282160567396094e-10,9.339415144340247e-16,4.457207834563761e-23,1.1629355159671844e-21,1.5342562030506643e-14,7.532235402442927e-09,0.00013760481278245502,0.0935464058110884,2.366488132236178,2.2277440815747886,0.07803869692794531,0.00010172752123312384,4.934585273525699e-09,9.025049477184938e-15,1.5336318343211373e-10,7.642738275683613e-06,0.01472651836665692,1.1089911218765116,3.290988330155786,0.6124239727514909,1.7047867503453211,0.9391690551739035,1.7082403645233075,0.4666043712017374,0.850481690573866,0.11838894953327958,0.5551363827340854,3.0958847917678454,2.79384138349361,4.947371970758697,5.574365588829942,8.064551336580974,6.204541291266292,3.819545138093955,6.657125479238446,1.615565271166208,1.6675126505658664,0.7138403636369001,1.6470229185873961,5.426416451619051,3.8545433787371,55.4861938566803,277.86183926657617
mg2si_struct_07.vasp,-33.876668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.283991157585655e-309,3.2288681316690633e-280,1.1813603238395873e-252,1.6084153012941738e-226,8.148876837005006e-202,1.5363177722094986e-178,1.0778246157514526e-156,2.8138366639995954e-136,2.7335902270215512e-117,9.88215553334269e-100,1.3293939543664886e-83,6.654868170244779e-69,1.2396781791820422e-55,8.593344045728659e-44,2.2166605149890722e-33,2.1277466418364187e-24,7.600188870301546e-17,1.0102121764867232e-10,4.996714730744972e-06,0.009196874395192062,0.629911732643203,1.6054725430495909,0.15226840918159157,0.0005374034883071856,7.057890148287133e-08,3.449316538607626e-13,6.272995120786455e-20,6.361539264061147e-22,9.36599731912489e-15,5.13132921367041e-09,0.00010461391889415296,0.079365691869161,2.2405770570373424,2.353806215918008,0.09201640653093211,0.00013386380945411026,9.630270568149244e-05,0.05710459952845105,1.2610654924594638,1.3154423034511507,3.194620208755724,1.3265417117098877,0.0362262235351232,1.122657294690306,3.2732683668014806,0.38654814100329643,0.0018330917843941824,0.0013514173067498134,0.34130362384166824,3.2859260901138625,2.131364535613388,1.479109542872966,3.1309398645521984,8.980595222854703,3.31856769992533,3.3370691516363884,0.3700897654198201,0.4334006878204848,4.220887037128496,7.44130724018306,8.433072661843083,9.083910265178819,1.5776850255512045,2.5364389956314954,55.948045989127316,277.4238743239208
mg2si_struct_08.vasp,-33.664535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.528763835835881e-308,3.924176028131905e-279,1.265321914562742e-251,1.5182291371451908e-225,6.778870802985185e-201,1.126318284789872e-177,6.963837927503049e-156,1.6022117718620884e-135,1.37174985927378e-116,4.37032438175484e-99,5.18126928902429e-83,2.2858219514737577e-68,3.752600881135912e-55,2.292482853773708e-43,5.2115098005478664e-33,4.408641294949041e-24,1.3878090414174987e-16,1.6256925053010418e-10,7.0864844319728925e-06,0.01149494807886478,0.6938521419634484,1.558513596636199,0.13026807645455518,0.00040518107101042064,4.689688950485022e-08,2.019866525253066e-13,3.237315657960736e-20,4.620889157490424e-26,3.539910460839302e-18,1.0133539977010444e-11,1.079478100086335e-06,0.004279078262953136,0.6312049065098845,3.4647686831314113,0.707720649302304,0.005379392486469598,1.5215573966367945e-06,1.6015009104889963e-11,6.27263162034181e-18,6.530607812069604e-25,2.2653318026402466e-17,3.455455495277314e-11,2.040675848946613e-06,0.004900482250064281,0.5159176586397426,2.5194694852512836,0.55908012505418,0.1324542598616169,0.9888285198078663,1.1326884376460282,0.9685728562250175,0.38943673119330724,0.7150826941512953,2.9655088466430755,4.113563200844028,5.887121475816826,6.680899446903542,10.737309109841263,6.907416638831074,5.185153220747976,7.047741666020517,5.423679921815111,3.841093001665483,1.7790579170401273,3.1141310213596403,2.89670127323915,53.65420082826502,278.19793202230017
mg2si_struct_09.vasp,-33.683496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.55834126e-315,4.932471102917949e-286,3.5387865367384847e-258,9.447739842941326e-232,9.386101107478172e-207,3.4699744195520726e-183,4.7736553565353285e-161,2.4437658508106644e-140,4.655344932667162e-121,3.300105935733503e-103,8.705378133633826e-87,8.545375318092465e-72,3.1214644018526165e-58,4.2429642618783e-46,2.1461699208705595e-35,4.039639188834084e-26,2.829468036933932e-18,7.374808553092608e-12,7.152871973996908e-07,0.002581629385694707,0.3467297309251349,1.7328940561100084,0.32228247067728133,0.0022304120330281876,5.7440373775311e-07,5.504693694340395e-12,1.9630565081898835e-18,2.794473338934634e-25,1.4650975651729108e-17,3.152213789388611e-11,2.5237627455050203e-06,0.007519087325977149,0.8336149122466833,3.439137692630517,0.5279799077771866,0.003016261358770098,6.412159078243645e-07,4.3056985127111355e-10,1.182514040220755e-05,0.012229248761051786,0.4707403777150395,0.7369652416005796,1.3340431398348953,1.0631673880510906,0.8146386359493627,0.4063053664884394,2.4838361236236133,4.483729998135775,2.004340852604011,0.5380828957307194,0.18523921722592573,1.71070427107025,3.0615037176237876,4.713103940642036,3.4510272516484752,4.105783960452746,4.8582038600343305,4.955101840547823,9.088855467085274,4.819989627736839,5.426062814968039,1.5156614538551432,0.03437647347095379,0.21013385602905765,2.2842639144917833,59.37933734186119,278.9070455950106
mg2si_struct_10.vasp,-33.526514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.057766550702662e-299,3.5974939679336666e-271,4.552962383669728e-244,2.1442320975020626e-218,3.7577965739357773e-194,2.4506341560590463e-171,5.947130125919787e-150,5.370567048171227e-130,1.8047480752350527e-111,2.2568192343232262e-94,1.0501726522872854e-78,1.818479365222376e-64,1.1717630336752534e-51,2.809667651111895e-40,2.5069972202377505e-30,8.324084808907107e-22,1.0284966536558104e-14,4.728822496939082e-09,8.090714655849509e-05,0.051511535953226745,1.2204102808159,1.0759471959859612,0.035298788608568464,4.30935614396026e-05,1.957711610427642e-09,3.309548791697486e-15,2.0819610696662422e-22,3.799420815798762e-22,6.140362349105545e-15,3.692787743508816e-09,8.264154620150702e-05,0.06882183773593831,2.1327396316045824,2.459422580356342,0.1055388154879985,0.00016852914515627564,1.0014322262851042e-08,2.2143784850140047e-14,1.8614355584804347e-15,1.0881705562152541e-09,2.423352113016287e-05,0.021438433922294588,0.8526350704837395,2.4674257033728404,1.36772165350376,0.4931946026670093,0.8173659386800731,1.6325273425209708,1.82956108303349,0.9839151036405388,1.509992146289959,1.90554335364933,2.165273574116265,3.0148496168908885,4.552990611914646,5.935107691726291,8.11818256455738,7.855188671154233,5.40580698319144,5.132560975435581,2.9726370377665643,3.3526675186524546,3.4928400455633004,3.5233588065470323,3.1324139265516924,54.30851985237588,277.33220597400674
