id,target,md_target
mg2si_struct_01.vasp,-8.9247973,-8.236411129282686
mg2si_struct_02.vasp,-34.985707,-35.559057129277704
mg2si_struct_03.vasp,-17.246812,-16.776607121318392
mg2si_struct_04.vasp,-34.062642,-37.57429968405221
mg2si_struct_05.vasp,-34.035175,-35.131193447214486
mg2si_struct_06.vasp,-33.945754,-33.33350181758075
mg2si_struct_07.vasp,-33.876668,-34.81355655117068
mg2si_struct_08.vasp,-33.664535,-32.48830269813547
mg2si_struct_09.vasp,-33.683496,-36.29262733665958
mg2si_struct_10.vasp,-33.526514,-36.55321369186973
mg2si_struct_11.vasp,-33.510382,-35.793587308837104
mg2si_struct_12.vasp,-33.395208,-36.40807519729016
mg2si_struct_13.vasp,-33.336132,-32.32435234579907
mg2si_struct_14.vasp,-16.833592,-23.71920962941884
mg2si_struct_15.vasp,-33.22615,-32.02788878295459
mg2si_struct_16.vasp,-33.177942,-34.131705115849925
mg2si_struct_17.vasp,-33.213926,-31.10083748085374
mg2si_struct_18.vasp,-33.127003,-34.52147155737586
mg2si_struct_19.vasp,-33.240984,-36.17200759882287
mg3si2_struct_01.vasp,-31.179043,-28.489525316142604
mg3si2_struct_02.vasp,-15.467789,-15.055153020488646
mg3si2_struct_03.vasp,-30.858554,-32.409697544213344
mg3si2_struct_05.vasp,-61.580777,-60.81769057190243
mg3si2_struct_06.vasp,-61.304717,-61.29323268913685
mg3si2_struct_07.vasp,-61.187351,-67.80057653022718
mg3si2_struct_08.vasp,-30.151852,-31.53307973196661
mg3si2_struct_09.vasp,-30.022697,-29.905512729003334
mg3si4_struct_01.vasp,-50.833061,-47.89700375658741
mg3si4_struct_02.vasp,-51.738334,-48.485773701549434
mg3si4_struct_03.vasp,-50.789675,-51.01490775079653
mg3si4_struct_04.vasp,-51.587956,-51.7666994470746
mg3si4_struct_05.vasp,-50.57823,-50.31068379552829
mg3si4_struct_06.vasp,-51.531769,-48.54723970948651
mg3si4_struct_08.vasp,-102.77418,-99.88785130440571
mg3si4_struct_09.vasp,-102.78952,-101.60411969125917
mg3si4_struct_10.vasp,-51.316579,-52.95787931754937
mg3si4_struct_11.vasp,-51.331179,-48.99282675671978
mg3si4_struct_12.vasp,-51.178363,-48.26916982645593
mg3si4_struct_13.vasp,-51.324479,-51.03912517343347
mg3si4_struct_14.vasp,-51.292528,-50.31822944752817
mg3si4_struct_15.vasp,-51.223382,-48.87339390627997
mg3si4_struct_16.vasp,-51.266351,-48.24888819622316
mg3si4_struct_17.vasp,-51.02422,-49.19226073745008
mg3si4_struct_18.vasp,-51.198752,-46.93534208003235
mg3si4_struct_19.vasp,-51.197109,-49.798139080019
mg3si4_struct_20.vasp,-51.189668,-51.20046191362648
mg3si4_struct_21.vasp,-51.199679,-47.02874335352392
mg3si4_struct_23.vasp,-51.106713,-50.879707132037495
mg3si4_struct_24.vasp,-51.061868,-55.12134750407047
mg3si4_struct_25.vasp,-51.097978,-54.84636475820692
mg3si4_struct_26.vasp,-51.117276,-49.58960357935405
mg3si4_struct_27.vasp,-51.065616,-49.315278848783066
mg3si4_struct_28.vasp,-50.983128,-53.55063425232062
mg3si4_struct_29.vasp,-51.080875,-51.50371471836815
mg3si4_struct_30.vasp,-51.029669,-48.8900410782145
mg3si4_struct_31.vasp,-51.042558,-46.80964271012402
mg3si4_struct_32.vasp,-51.03308,-49.88449282523685
mg3si4_struct_33.vasp,-51.049419,-50.96602397920155
mg3si4_struct_34.vasp,-50.977335,-47.13270976975045
mg3si4_struct_35.vasp,-51.033383,-51.09922595338035
mg3si4_struct_37.vasp,-50.927371,-45.163928014372104
mg3si4_struct_38.vasp,-50.824341,-51.311955532826
mg3si4_struct_39.vasp,-51.00845,-52.4147891631783
mg3si4_struct_40.vasp,-50.81935,-52.954626139140295
mg3si4_struct_42.vasp,-50.832316,-50.45972733413389
mg4si3_struct_01.vasp,-45.025318,-44.6137103859441
mg4si3_struct_02.vasp,-44.90087,-47.11010356212897
mg4si3_struct_03.vasp,-44.785261,-47.68255226796494
mg4si3_struct_04.vasp,-44.693971,-45.37298008779011
mg4si3_struct_05.vasp,-44.623296,-43.794444448636966
mg4si3_struct_06.vasp,-43.27971,-42.72659632295239
mg4si3_struct_07.vasp,-44.612599,-47.484944740897205
mg4si3_struct_08.vasp,-43.828192,-42.901320906995224
mg4si3_struct_11.vasp,-44.472144,-41.362653614961246
mg4si3_struct_12.vasp,-44.393716,-44.62116994248514
mg4si3_struct_13.vasp,-44.391618,-44.507462440058276
mg4si3_struct_14.vasp,-44.402693,-47.60461127901101
mg4si3_struct_15.vasp,-43.120905,-43.51757375235452
mg4si3_struct_16.vasp,-44.354794,-47.041663822025754
mg4si3_struct_17.vasp,-44.32805,-45.90728850535936
mg4si3_struct_18.vasp,-43.770659,-43.95181464804763
mg4si3_struct_20.vasp,-44.314055,-47.388831460452124
mg4si3_struct_21.vasp,-44.298937,-45.33266896402547
mg4si3_struct_23.vasp,-43.613827,-44.3733257151835
mg4si3_struct_24.vasp,-44.161165,-44.64915096660857
mg4si3_struct_25.vasp,-44.077713,-44.44048632275536
mg4si3_struct_26.vasp,-44.043769,-42.61245219355568
mg4si3_struct_27.vasp,-88.020719,-92.1549708925062
mg4si3_struct_28.vasp,-43.967332,-45.786594971415084
mg4si3_struct_29.vasp,-43.87122,-48.11984340277128
mg4si3_struct_30.vasp,-87.577892,-84.3649338578684
mg4si3_struct_31.vasp,-87.563198,-92.58454418439499
mg4si3_struct_32.vasp,-43.752114,-43.1781608548995
mg4si3_struct_33.vasp,-87.414241,-90.96055321781142
mg4si3_struct_34.vasp,-87.354216,-87.96668510625231
mg4si3_struct_35.vasp,-87.414468,-91.12576117881449
mg4si3_struct_37.vasp,-43.67555,-42.93994701963682
mg4si3_struct_39.vasp,-87.333791,-82.51041000088594
mg4si3_struct_40.vasp,-44.162695,-44.98722938445155
mg4si3_struct_41.vasp,-43.50624,-45.63442739758868
mg4si7_struct_01.vasp,-85.856371,-84.88174029859034
mg4si7_struct_03.vasp,-85.894634,-87.3560315405555
mg4si7_struct_05.vasp,-85.741839,-85.89203361003949
mg4si7_struct_06.vasp,-85.716566,-85.034971766301
mg4si7_struct_07.vasp,-85.70603,-88.42869793709738
mg4si7_struct_08.vasp,-85.654627,-85.13663820384134
mg4si7_struct_09.vasp,-85.608451,-84.88377276638656
mg4si7_struct_10.vasp,-85.60499,-85.42089466055724
mg4si7_struct_12.vasp,-85.572755,-85.27942137265404
mg4si7_struct_14.vasp,-85.565961,-84.91478865543414
mg4si7_struct_15.vasp,-85.499395,-84.32536377001736
mg4si7_struct_16.vasp,-85.595316,-85.17846214781133
mg4si7_struct_17.vasp,-85.446645,-84.60638857218889
mg4si7_struct_19.vasp,-85.292921,-86.82717173559578
