X,train_err,train_unc,test_err,test_unc
32,0.42537234596065737,0.03687932979675299,0.686326871321169,0.08000217090369421
64,0.415277750742386,0.030229338761239226,0.5648320014005467,0.0683252388983955
96,0.39569801951414135,0.020879080520465637,0.49629843808046004,0.05387590132129665
128,0.35723638323040796,0.02113458891060887,0.44647056909449545,0.06251948446856988
160,0.33133361977335724,0.01550395978308348,0.4038423979299967,0.03687681607564521
192,0.30896124953836834,0.011386911501356914,0.3605894863422108,0.042680568834981926
224,0.2903299354345621,0.007836786125125079,0.33585671480103335,0.03221878583372309
256,0.2774077249812789,0.00814081649276616,0.3235782674709173,0.03433884994165715
288,0.265116676366565,0.0060785279212592965,0.2989003789223753,0.03358307765358067
320,0.25622724131914604,0.0049973145361199775,0.28328928499949396,0.03744005672156172
352,0.24805847795689284,0.0034251874471659294,0.2780564222988367,0.049650162209547107
