X,train_err,train_unc,test_err,test_unc,train_r2_mean,train_r2_std,test_r2_mean,test_r2_std
32,0.06900348687065702,0.04761725923097973,0.659473933907542,0.17462518761029505,0.9976608574580886,0.0038632167895357485,0.8695405761305827,0.08835127503417302
64,0.0971503839733248,0.034622049493558425,0.5975282991264362,0.21972223112467684,0.9967988727676291,0.0024586062136245793,0.9037979464305724,0.059819340489847085
96,0.11442502041606457,0.03064415473196862,0.45979202007200193,0.1441713647208192,0.9960354051236238,0.0022721572293310476,0.9396473025266748,0.03260916880168511
128,0.10531404068525785,0.019431964611340877,0.3574348537616035,0.1301612336936424,0.9967207599890952,0.0013257595599996182,0.9601563778910522,0.0316895488534466
160,0.10402019742432314,0.018277942578734607,0.33291729977271267,0.15501050046391598,0.9968610191766822,0.0011224289678396374,0.9642191269854918,0.03649175816074123
192,0.10112683943090155,0.012033486142672524,0.25490453694654575,0.06413014930152952,0.9970160788922464,0.0006908896470592566,0.9809580053513884,0.009945505110109647
224,0.10092438829197549,0.012025816172010368,0.2179615004668645,0.04621319016927671,0.9970587205440411,0.0007072608002697541,0.9860000236323782,0.00630683504758089
256,0.09710316837018017,0.009676111526118348,0.1926248158319522,0.037155231644461315,0.9973190563210004,0.000536636272532602,0.9889844272636933,0.004619866191760146
288,0.10033350162095817,0.007768650384870163,0.1744502426565922,0.028018426143680487,0.9971324070028349,0.00046141375675672194,0.9908949160031164,0.0030357193352252908
320,0.09804067309759641,0.006560139565150298,0.1846331181968235,0.0978682430745932,0.9972580312577957,0.00037850298382921467,0.9884118200901362,0.016528268965114886
352,0.1006468134387994,0.006030313161690264,0.15269826334412145,0.029053502014068394,0.9971092318109561,0.0003602553806365841,0.9927858178353123,0.002711661103619111
384,0.09948351123298804,0.004905752068666951,nan,nan,0.9971779518538226,0.0002878876920694382,nan,nan
