X,train_err,train_unc,test_err,test_unc,train_r2_mean,train_r2_std,test_r2_mean,test_r2_std
16,0.08368712051180222,0.08708633446970603,0.6613723116749277,0.21424785309096037,0.9868727393970932,0.03251445347554375,0.6918287411260984,0.15547163941365075
32,0.13552498959012169,0.03412993546069605,0.49573901827095,0.2045430147875349,0.9805196150461635,0.010505604763242667,0.7852397088892141,0.14332267153450706
48,0.15627953691436983,0.02737764675647564,0.3103844337119483,0.1212723729461888,0.9760142692621714,0.008694030369823654,0.910067867037516,0.0760930654492329
64,0.15544600129726238,0.018386545867352836,0.2564815581507899,0.022655222799698938,0.9767186468576196,0.0050491236228796315,0.937095656251076,0.014507839866804002
80,0.1693799764385084,0.01528507114402235,0.23913995651184597,0.01983488563643405,0.9721610733805846,0.0047361312193865525,0.9467084882061628,0.00874938569297633
96,0.17884201835010433,0.015316301223670926,0.2305590815228058,0.019753380925345922,0.9691232074489926,0.005679857167320537,0.9479541826775759,0.011138929286510352
112,0.17705108720225918,0.01344620669569085,0.2270830588553733,0.019509727372794407,0.9697802870925417,0.004495724978858116,0.9513496909949724,0.008482055104867672
128,0.1830765834102167,0.009686951099848051,0.21606157571616774,0.020983847831882042,0.9681931784281723,0.003116602507527518,0.9533863558191484,0.00980954940892356
144,0.1813718783778611,0.007868927709908562,0.2180334515247079,0.028325686822796778,0.9682962310196906,0.0028504964518182626,0.9533236435433453,0.012156507804212712
160,0.18378631145623026,0.005768100089320463,0.2153451657140965,0.02945547649896672,0.9678110395178082,0.0018699136425385113,0.954664688414065,0.010926798995347611
176,0.18567424166533594,0.0043160386402789,0.19714664044486313,0.04925498733448141,0.967365621141086,0.00162791401911721,0.9548420349918477,0.022867699552349133
192,0.18559350204614705,0.0008250187789396986,nan,nan,0.9671149740160816,0.0005221468398447068,nan,nan
